iter	Passed	Remaining
542	11109	9350
543	11131	9330
544	11155	9313
545	11177	9294
546	11199	9274
547	11217	9252
548	11236	9230
549	11255	9209
550	11275	9188
551	11297	9168
552	11316	9147
553	11335	9126
554	11354	9104
555	11374	9083
556	11393	9061
557	11411	9039
558	11431	9018
559	11455	9000
560	11475	8980
561	11497	8960
562	11516	8939
563	11535	8917
564	11555	8896
565	11577	8877
566	11603	8860
567	11621	8839
568	11639	8816
569	11659	8795
570	11680	8775
571	11702	8756
572	11728	8740
573	11747	8718
574	11767	8697
575	11786	8676
576	11804	8654
577	11826	8634
578	11847	8614
579	11866	8593
580	11888	8573
581	11907	8552
582	11928	8531
583	11948	8511
584	11967	8489
585	11986	8468
586	12005	8446
587	12026	8426
588	12044	8404
589	12063	8382
590	12082	8361
591	12100	8339
592	12118	8317
593	12138	8296
594	12157	8275
595	12180	8256
596	12200	8235
597	12217	8213
598	12236	8191
599	12255	8170
600	12276	8150
601	12295	8129
602	12317	8109
603	12336	8088
604	12356	8067
605	12376	8046
606	12396	8025
607	12416	8005
608	12441	7987
609	12449	7959
610	12471	7939
611	12494	7921
612	12513	7900
613	12533	7879
614	12552	7858
615	12572	7837
616	12592	7816
617	12610	7795
618	12630	7774
619	12649	7753
620	12669	7731
621	12689	7711
622	12709	7690
623	12728	7669
624	12749	7649
625	12767	7628
626	12791	7609
627	12811	7589
628	12832	7568
629	12855	7550
630	12874	7528
631	12892	7507
632	12911	7486
633	12931	7465
634	12951	7444
635	12971	7424
636	12993	7404
637	13015	7384
638	13033	7363
639	13055	7343
640	13077	7324
641	13097	7303
642	13116	7282
643	13138	7262
644	13158	7242
645	13178	7221
646	13196	7200
647	13217	7179
648	13236	7158
649	13255	7137
650	13278	7118
651	13300	7099
652	13319	7078
653	13339	7057
654	13358	7036
655	13377	7014
656	13397	6994
657	13419	6974
658	13438	6953
659	13458	6933
660	13480	6913
661	13500	6892
662	13520	6872
663	13540	6851
664	13559	6830
665	13577	6809
666	13598	6788
667	13616	6767
668	13635	6746
669	13654	6725
670	13673	6704
671	13691	6682
672	13711	6662
673	13731	6641
674	13749	6620
675	13769	6599
676	13787	6578
677	13807	6557
678	13828	6537
679	13848	6516
680	13869	6496
681	13887	6475
682	13905	6453
683	13925	6433
684	13944	6412
685	13964	6391
686	13998	6377
687	14031	6363
688	14050	6342
689	14069	6320
690	14087	6299
691	14106	6278
692	14125	6257
693	14145	6237
694	14165	6216
695	14186	6196
696	14204	6174
697	14221	6153
698	14240	6132
699	14259	6111
700	14280	6091
701	14301	6070
702	14320	6049
703	14338	6028
704	14357	6007
705	14376	5986
706	14396	5966
707	14418	5946
708	14441	5927
709	14461	5906
710	14481	5886
711	14500	5865
712	14518	5844
713	14539	5823
714	14564	5805
715	14585	5785
716	14607	5765
717	14630	5746
718	14651	5725
719	14674	5706
720	14694	5686
721	14714	5665
722	14735	5645
723	14757	5625
724	14779	5605
725	14800	5585
726	14823	5566
727	14845	5546
728	14870	5528
729	14893	5508
730	14914	5488
731	14934	5467
732	14953	5446
733	14972	5426
734	14995	5406
735	15015	5385
736	15035	5365
737	15056	5345
738	15076	5324
739	15096	5304
740	15116	5283
741	15142	5265
742	15166	5245
743	15188	5226
744	15209	5205
745	15229	5185
746	15250	5165
747	15271	5144
748	15293	5124
749	15313	5104
750	15333	5083
751	15355	5064
752	15375	5043
753	15394	5022
754	15413	5001
755	15433	4981
756	15452	4960
757	15472	4939
758	15492	4919
759	15513	4899
760	15533	4878
761	15554	4858
762	15578	4838
763	15599	4818
764	15618	4797
765	15638	4777
766	15657	4756
767	15677	4735
768	15698	4715
769	15717	4694
770	15736	4673
771	15759	4654
772	15782	4634
773	15802	4614
774	15822	4593
775	15845	4573
776	15867	4553
777	15887	4533
778	15908	4513
779	15930	4493
780	15950	4472
781	15971	4452
782	15993	4432
783	16015	4412
784	16036	4392
785	16056	4371
786	16076	4351
787	16097	4330
788	16119	4310
789	16140	4290
790	16162	4270
791	16183	4250
792	16204	4229
793	16225	4209
794	16245	4189
795	16267	4169
796	16288	4148
797	16309	4128
798	16329	4107
799	16349	4087
800	16370	4067
801	16390	4046
802	16409	4025
803	16428	4004
804	16446	3983
805	16468	3963
806	16488	3943
807	16509	3922
808	16529	3902
809	16549	3882
810	16568	3861
811	16588	3840
812	16606	3819
813	16624	3798
814	16643	3777
815	16663	3757
816	16682	3736
817	16701	3715
818	16720	3695
819	16738	3674
820	16757	3653
821	16777	3633
822	16794	3612
823	16814	3591
824	16834	3570
825	16853	3550
826	16872	3529
827	16892	3509
828	16910	3488
829	16928	3467
830	16950	3447
831	16971	3426
832	16993	3406
833	17016	3387
834	17035	3366
835	17053	3345
836	17071	3324
837	17089	3303
838	17108	3282
839	17129	3262
840	17149	3242
841	17169	3221
842	17188	3201
843	17210	3181
844	17229	3160
845	17247	3139
846	17268	3119
847	17290	3099
848	17311	3078
849	17330	3058
850	17349	3037
851	17367	3016
852	17387	2996
853	17406	2975
854	17424	2954
855	17442	2934
856	17461	2913
857	17480	2893
858	17500	2872
859	17518	2851
860	17536	2831
861	17556	2810
862	17575	2790
863	17594	2769
864	17612	2748
865	17634	2728
866	17653	2708
